core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
1,1,pool1,,616,1065,1849,1918,449,0,0,784,69,0,"waiting_for=[t11(DRAM,200704B),t16(DRAM,100352B)]"
1,2,conv_2_0_a,,1919,2160,2161,2242,241,0,0,1,81,0,"waiting_for=[t19(DRAM,2048B),t16(DRAM,100352B),t26(DRAM,103936B)]"
1,3,conv_2_0_b,,2243,2492,2493,2806,249,0,0,1,313,0,"waiting_for=[t27(DRAM,18432B),t26(DRAM,103936B),t32(DRAM,100352B)]"
1,4,conv_2_0_c,,2807,3084,3085,3360,277,0,0,1,275,0,"waiting_for=[t35(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
1,5,conv_2_br,,3361,3970,3971,4429,609,0,0,1,458,0,"waiting_for=[t39(DRAM,8192B),t38(DRAM,100352B),t52(DRAM,200704B),t54(DRAM,200704B)]"
1,6,conv_2_0_res,,4430,5293,8429,8723,863,0,0,3136,294,0,"waiting_for=[t52(DRAM,200704B),t54(DRAM,200704B),t60(DRAM,401408B)]"
1,7,conv_2_1_a,,8724,9379,9380,9751,655,0,0,1,371,0,"waiting_for=[t63(DRAM,8192B),t60(DRAM,401408B),t70(DRAM,103936B)]"
1,8,conv_2_1_b,,9752,10001,10002,10106,249,0,0,1,104,0,"waiting_for=[t71(DRAM,18432B),t70(DRAM,103936B),t76(DRAM,100352B)]"
1,9,conv_2_1_c,,10107,10640,10641,10916,533,0,0,1,275,0,"waiting_for=[t79(DRAM,8192B),t76(DRAM,100352B),t89(DRAM,200704B),t90(DRAM,200704B)]"
1,10,conv_2_1_res,,10917,11781,14917,15192,864,0,0,3136,275,0,"waiting_for=[t89(DRAM,200704B),t90(DRAM,200704B),t96(DRAM,401408B)]"
1,11,conv_2_2_a,,15193,16003,16004,16073,810,0,0,1,69,0,"waiting_for=[t99(DRAM,8192B),t96(DRAM,401408B),t106(DRAM,103936B)]"
1,12,conv_2_2_b,,16074,16323,16324,16398,249,0,0,1,74,0,"waiting_for=[t107(DRAM,18432B),t106(DRAM,103936B),t112(DRAM,100352B)]"
1,13,conv_2_2_c,,16399,16932,16933,17236,533,0,0,1,303,0,"waiting_for=[t115(DRAM,8192B),t112(DRAM,100352B),t125(DRAM,200704B),t126(DRAM,200704B)]"
1,14,conv_2_2_res,,17237,18080,21216,21563,843,0,0,3136,347,0,"waiting_for=[t125(DRAM,200704B),t126(DRAM,200704B),t132(DRAM,380160B)]"
1,15,conv_3_0_a,,21564,22221,22222,22279,657,0,0,1,57,0,"waiting_for=[t135(DRAM,16384B),t132(DRAM,380160B),t142(DRAM,53760B)]"
1,16,conv_3_0_b,,22280,22484,22485,22520,204,0,0,1,35,0,"waiting_for=[t143(DRAM,73728B),t142(DRAM,53760B),t148(DRAM,50176B)]"
1,17,conv_3_0_c,,22521,23095,23096,23364,574,0,0,1,268,0,"waiting_for=[t151(DRAM,32768B),t148(DRAM,50176B),t154(DRAM,380160B)]"
1,18,conv_3_br,,23365,24108,24109,24373,743,0,0,1,264,0,"waiting_for=[t155(DRAM,65536B),t154(DRAM,380160B),t168(DRAM,100352B),t170(DRAM,100352B)]"
1,19,conv_3_0_res,,24374,24815,26383,26520,441,0,0,1568,137,0,"waiting_for=[t168(DRAM,100352B),t170(DRAM,100352B),t176(DRAM,200704B)]"
1,20,conv_3_1_a,,26521,26862,26863,26898,341,0,0,1,35,0,"waiting_for=[t179(DRAM,32768B),t176(DRAM,200704B),t186(DRAM,53760B)]"
1,21,conv_3_1_b,,26899,27103,27104,27240,204,0,0,1,136,0,"waiting_for=[t187(DRAM,73728B),t186(DRAM,53760B),t192(DRAM,50176B)]"
1,22,conv_3_1_c,,27241,27633,27634,27771,392,0,0,1,137,0,"waiting_for=[t195(DRAM,32768B),t192(DRAM,50176B),t205(DRAM,100352B),t206(DRAM,100352B)]"
1,23,conv_3_1_res,,27772,28204,29772,29909,432,0,0,1568,137,0,"waiting_for=[t205(DRAM,100352B),t206(DRAM,100352B),t212(DRAM,200704B)]"
1,24,conv_3_2_a,,29910,30251,30252,30287,341,0,0,1,35,0,"waiting_for=[t215(DRAM,32768B),t212(DRAM,200704B),t222(DRAM,53760B)]"
1,25,conv_3_2_b,,30288,30492,30493,30616,204,0,0,1,123,0,"waiting_for=[t223(DRAM,73728B),t222(DRAM,53760B),t228(DRAM,50176B)]"
1,26,conv_3_2_c,,30617,31089,31090,31227,472,0,0,1,137,0,"waiting_for=[t231(DRAM,32768B),t228(DRAM,50176B),t241(DRAM,100352B),t242(DRAM,100352B)]"
1,27,conv_3_2_res,,31228,31660,33228,33365,432,0,0,1568,137,0,"waiting_for=[t241(DRAM,100352B),t242(DRAM,100352B),t248(DRAM,200704B)]"
1,28,conv_3_3_a,,33366,33707,33708,33743,341,0,0,1,35,0,"waiting_for=[t251(DRAM,32768B),t248(DRAM,200704B),t258(DRAM,53760B)]"
1,29,conv_3_3_b,,33744,33948,33949,34071,204,0,0,1,122,0,"waiting_for=[t259(DRAM,73728B),t258(DRAM,53760B),t264(DRAM,50176B)]"
1,30,conv_3_3_c,,34072,34549,34550,34743,477,0,0,1,193,0,"waiting_for=[t267(DRAM,32768B),t264(DRAM,50176B),t277(DRAM,100352B),t278(DRAM,100352B)]"
1,31,conv_3_3_res,,34744,35165,36733,36870,421,0,0,1568,137,0,"waiting_for=[t277(DRAM,100352B),t278(DRAM,100352B),t284(DRAM,179712B)]"
1,32,conv_4_0_a,,36871,37172,37173,37191,301,0,0,1,18,0,"waiting_for=[t287(DRAM,65536B),t284(DRAM,179712B),t294(DRAM,28672B)]"
1,33,conv_4_0_b,,37192,37649,37650,37718,457,0,0,1,68,0,"waiting_for=[t295(DRAM,294912B),t294(DRAM,28672B),t300(DRAM,25088B)]"
1,34,conv_4_0_c,,37719,38224,38225,38379,505,0,0,1,154,0,"waiting_for=[t303(DRAM,131072B),t300(DRAM,25088B),t306(DRAM,179712B)]"
1,35,conv_4_br,,38380,39013,39014,39083,633,0,0,1,69,0,"waiting_for=[t307(DRAM,262144B),t306(DRAM,179712B),t320(DRAM,50176B),t322(DRAM,50176B)]"
1,36,conv_4_0_res,,39084,39301,40085,40163,217,0,0,784,78,0,"waiting_for=[t320(DRAM,50176B),t322(DRAM,50176B),t328(DRAM,100352B)]"
1,37,conv_4_1_a,,40164,40470,40471,40489,306,0,0,1,18,0,"waiting_for=[t331(DRAM,131072B),t328(DRAM,100352B),t338(DRAM,28672B)]"
1,38,conv_4_1_b,,40490,40965,40966,41075,475,0,0,1,109,0,"waiting_for=[t339(DRAM,294912B),t338(DRAM,28672B),t344(DRAM,25088B)]"
1,39,conv_4_1_c,,41076,41379,41380,41515,303,0,0,1,135,0,"waiting_for=[t347(DRAM,131072B),t344(DRAM,25088B),t357(DRAM,50176B),t358(DRAM,50176B)]"
1,40,conv_4_1_res,,41516,41733,42517,42684,217,0,0,784,167,0,"waiting_for=[t357(DRAM,50176B),t358(DRAM,50176B),t364(DRAM,100352B)]"
1,41,conv_4_2_a,,42685,42991,42992,43094,306,0,0,1,102,0,"waiting_for=[t367(DRAM,131072B),t364(DRAM,100352B),t374(DRAM,28672B)]"
1,42,conv_4_2_b,,43095,43552,43553,43619,457,0,0,1,66,0,"waiting_for=[t375(DRAM,294912B),t374(DRAM,28672B),t380(DRAM,25088B)]"
1,43,conv_4_2_c,,43620,43923,43924,43993,303,0,0,1,69,0,"waiting_for=[t383(DRAM,131072B),t380(DRAM,25088B),t393(DRAM,50176B),t394(DRAM,50176B)]"
1,44,conv_4_2_res,,43994,44211,44995,45064,217,0,0,784,69,0,"waiting_for=[t393(DRAM,50176B),t394(DRAM,50176B),t400(DRAM,100352B)]"
1,45,conv_4_3_a,,45065,45389,45390,45408,324,0,0,1,18,0,"waiting_for=[t403(DRAM,131072B),t400(DRAM,100352B),t410(DRAM,28672B)]"
1,46,conv_4_3_b,,45409,45866,45867,45885,457,0,0,1,18,0,"waiting_for=[t411(DRAM,294912B),t410(DRAM,28672B),t416(DRAM,25088B)]"
1,47,conv_4_3_c,,45886,46189,46190,46266,303,0,0,1,76,0,"waiting_for=[t419(DRAM,131072B),t416(DRAM,25088B),t429(DRAM,50176B),t430(DRAM,50176B)]"
1,48,conv_4_3_res,,46267,46484,47268,47337,217,0,0,784,69,0,"waiting_for=[t429(DRAM,50176B),t430(DRAM,50176B),t436(DRAM,100352B)]"
1,49,conv_4_4_a,,47338,47662,47663,47681,324,0,0,1,18,0,"waiting_for=[t439(DRAM,131072B),t436(DRAM,100352B),t446(DRAM,28672B)]"
1,50,conv_4_4_b,,47682,48139,48140,48158,457,0,0,1,18,0,"waiting_for=[t447(DRAM,294912B),t446(DRAM,28672B),t452(DRAM,25088B)]"
1,51,conv_4_4_c,,48159,48462,48463,48539,303,0,0,1,76,0,"waiting_for=[t455(DRAM,131072B),t452(DRAM,25088B),t465(DRAM,50176B),t466(DRAM,50176B)]"
1,52,conv_4_4_res,,48540,48757,49541,49610,217,0,0,784,69,0,"waiting_for=[t465(DRAM,50176B),t466(DRAM,50176B),t472(DRAM,100352B)]"
1,53,conv_4_5_a,,49611,49935,49936,49954,324,0,0,1,18,0,"waiting_for=[t475(DRAM,131072B),t472(DRAM,100352B),t482(DRAM,28672B)]"
1,54,conv_4_5_b,,49955,50412,50413,50434,457,0,0,1,21,0,"waiting_for=[t483(DRAM,294912B),t482(DRAM,28672B),t488(DRAM,25088B)]"
1,55,conv_4_5_c,,50435,50827,50828,50902,392,0,0,1,74,0,"waiting_for=[t491(DRAM,131072B),t488(DRAM,25088B),t501(DRAM,50176B),t502(DRAM,50176B)]"
1,56,conv_4_5_res,,50903,51497,52281,52438,594,0,0,784,157,0,"waiting_for=[t501(DRAM,50176B),t502(DRAM,50176B),t505(DRAM,173056B)]"
1,57,conv_5_0_a,,52439,52822,52823,53102,383,0,0,1,279,0,"waiting_for=[t512(DRAM,131072B),t505(DRAM,173056B),t514(DRAM,25088B)]"
1,58,conv_5_0_b,,53103,53961,53962,54023,858,0,0,1,61,0,"waiting_for=[t521(DRAM,589824B),t514(DRAM,25088B),t523(DRAM,25088B)]"
