[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 3729 transfer blocks, total 5059529.32 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=1
[Simulator] Total workloads: 1725, DRAM reads: 376, DRAM writes: 861
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 9000000, cores done: 0/4, workloads completed: 140/1725 (8.1%)
[Simulator] Cycle 9100000, cores done: 0/4, workloads completed: 140/1725 (8.1%)
[Simulator] Cycle 9200000, cores done: 0/4, workloads completed: 142/1725 (8.2%)
[Simulator] Cycle 9300000, cores done: 0/4, workloads completed: 144/1725 (8.3%)
[Simulator] Cycle 9400000, cores done: 0/4, workloads completed: 146/1725 (8.5%)
[Simulator] Cycle 9500000, cores done: 0/4, workloads completed: 148/1725 (8.6%)
[Simulator] Cycle 9600000, cores done: 0/4, workloads completed: 149/1725 (8.6%)
[Simulator] Cycle 9700000, cores done: 0/4, workloads completed: 151/1725 (8.8%)
[Simulator] Cycle 9800000, cores done: 0/4, workloads completed: 153/1725 (8.9%)
[Simulator] Cycle 9900000, cores done: 0/4, workloads completed: 155/1725 (9.0%)
[Simulator] Cycle 10000000, cores done: 0/4, workloads completed: 157/1725 (9.1%)
[Simulator] Cycle 10100000, cores done: 0/4, workloads completed: 159/1725 (9.2%)
[Simulator] Cycle 10200000, cores done: 0/4, workloads completed: 160/1725 (9.3%)
[Simulator] Cycle 10300000, cores done: 0/4, workloads completed: 162/1725 (9.4%)
[Simulator] Cycle 10400000, cores done: 0/4, workloads completed: 164/1725 (9.5%)
[Simulator] Cycle 10500000, cores done: 0/4, workloads completed: 166/1725 (9.6%)
[Simulator] Cycle 10600000, cores done: 0/4, workloads completed: 168/1725 (9.7%)
[Simulator] Cycle 10700000, cores done: 0/4, workloads completed: 168/1725 (9.7%)
[Simulator] Cycle 10800000, cores done: 0/4, workloads completed: 168/1725 (9.7%)
[Simulator] Cycle 10900000, cores done: 0/4, workloads completed: 169/1725 (9.8%)
[Simulator] Cycle 11000000, cores done: 0/4, workloads completed: 171/1725 (9.9%)
[Simulator] Cycle 11100000, cores done: 0/4, workloads completed: 172/1725 (10.0%)
[Simulator] Cycle 11200000, cores done: 0/4, workloads completed: 172/1725 (10.0%)
[Simulator] Cycle 11300000, cores done: 0/4, workloads completed: 172/1725 (10.0%)
[Simulator] Cycle 11400000, cores done: 0/4, workloads completed: 174/1725 (10.1%)
[Simulator] Cycle 11500000, cores done: 0/4, workloads completed: 176/1725 (10.2%)
[Simulator] Cycle 11600000, cores done: 0/4, workloads completed: 176/1725 (10.2%)
[Simulator] Cycle 11700000, cores done: 0/4, workloads completed: 176/1725 (10.2%)
[Simulator] Cycle 11800000, cores done: 0/4, workloads completed: 177/1725 (10.3%)
[Simulator] Cycle 11900000, cores done: 0/4, workloads completed: 179/1725 (10.4%)
[Simulator] Cycle 12000000, cores done: 0/4, workloads completed: 180/1725 (10.4%)
