cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
4088,2,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
4178,2,WRITEBACK,IDLE,5,pool1,"writeback_complete"
4179,2,IDLE,LOADING,5,pool1,"waiting_for=[t21(DRAM,200704B),t29(DRAM,200704B)]"
4211,0,LOADING,COMPUTING,5,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
4334,3,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
4403,3,WRITEBACK,IDLE,5,pool1,"writeback_complete"
4404,3,IDLE,LOADING,5,pool1,"waiting_for=[t22(DRAM,204288B),t30(DRAM,204288B)]"
4472,1,LOADING,COMPUTING,5,pool1,"compute_cycles=784,loading_dram_cycles=471,loading_core_cycles=0"
4651,2,LOADING,COMPUTING,5,pool1,"compute_cycles=784,loading_dram_cycles=472,loading_core_cycles=0"
4884,3,LOADING,COMPUTING,5,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
4995,0,COMPUTING,WRITEBACK,5,pool1,"writeback_to_dram"
5064,0,WRITEBACK,IDLE,6,pool1,"writeback_complete"
5065,0,IDLE,LOADING,6,pool1,"waiting_for=[t26(DRAM,204288B),t34(DRAM,204288B)]"
5256,1,COMPUTING,WRITEBACK,5,pool1,"writeback_to_dram"
5325,1,WRITEBACK,IDLE,6,pool1,"writeback_complete"
5326,1,IDLE,LOADING,6,pool1,"waiting_for=[t33(DRAM,200704B),t41(DRAM,200704B)]"
5435,2,COMPUTING,WRITEBACK,5,pool1,"writeback_to_dram"
5504,2,WRITEBACK,IDLE,6,pool1,"writeback_complete"
5505,2,IDLE,LOADING,6,pool1,"waiting_for=[t29(DRAM,200704B),t37(DRAM,200704B)]"
5545,0,LOADING,COMPUTING,6,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
5668,3,COMPUTING,WRITEBACK,5,pool1,"writeback_to_dram"
5737,3,WRITEBACK,IDLE,6,pool1,"writeback_complete"
5738,3,IDLE,LOADING,6,pool1,"waiting_for=[t30(DRAM,204288B),t38(DRAM,204288B)]"
5797,1,LOADING,COMPUTING,6,pool1,"compute_cycles=784,loading_dram_cycles=471,loading_core_cycles=0"
5976,2,LOADING,COMPUTING,6,pool1,"compute_cycles=784,loading_dram_cycles=471,loading_core_cycles=0"
6218,3,LOADING,COMPUTING,6,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
6329,0,COMPUTING,WRITEBACK,6,pool1,"writeback_to_dram"
6398,0,WRITEBACK,IDLE,7,pool1,"writeback_complete"
6399,0,IDLE,LOADING,7,pool1,"waiting_for=[t34(DRAM,204288B),t43(DRAM,100352B)]"
6581,1,COMPUTING,WRITEBACK,6,pool1,"writeback_to_dram"
6650,1,WRITEBACK,IDLE,7,pool1,"writeback_complete"
6651,1,IDLE,LOADING,7,pool1,"waiting_for=[t41(DRAM,200704B),t46(DRAM,100352B)]"
6760,2,COMPUTING,WRITEBACK,6,pool1,"writeback_to_dram"
