cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
1322,0,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,2352B),t12(DRAM,39675B),t16(DRAM,39675B)]"
1341,1,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1342,1,IDLE,LOADING,2,conv1,"waiting_for=[t5(DRAM,2352B),t15(DRAM,38988B),t19(DRAM,38988B)]"
1360,2,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1361,2,IDLE,LOADING,2,conv1,"waiting_for=[t6(DRAM,2352B),t12(DRAM,39675B),t16(DRAM,39675B)]"
1380,3,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1381,3,IDLE,LOADING,2,conv1,"waiting_for=[t7(DRAM,2352B),t15(DRAM,38988B),t19(DRAM,38988B)]"
1399,4,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1400,4,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,2352B),t13(DRAM,39330B),t17(DRAM,39330B)]"
1419,5,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1420,5,IDLE,LOADING,2,conv1,"waiting_for=[t5(DRAM,2352B),t14(DRAM,39330B),t18(DRAM,39330B)]"
1439,6,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1440,6,IDLE,LOADING,2,conv1,"waiting_for=[t6(DRAM,2352B),t13(DRAM,39330B),t17(DRAM,39330B)]"
1458,7,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1459,7,IDLE,LOADING,2,conv1,"waiting_for=[t7(DRAM,2352B),t14(DRAM,39330B),t18(DRAM,39330B)]"
1478,8,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1479,8,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,2352B),t14(DRAM,39330B),t18(DRAM,39330B)]"
1497,9,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1498,9,IDLE,LOADING,2,conv1,"waiting_for=[t5(DRAM,2352B),t13(DRAM,39330B),t17(DRAM,39330B)]"
1517,10,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1518,10,IDLE,LOADING,2,conv1,"waiting_for=[t6(DRAM,2352B),t14(DRAM,39330B),t18(DRAM,39330B)]"
1557,14,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=654,loading_core_cycles=0"
1558,14,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1569,11,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1570,11,IDLE,LOADING,2,conv1,"waiting_for=[t7(DRAM,2352B),t13(DRAM,39330B),t17(DRAM,39330B)]"
1613,15,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=342,loading_core_cycles=0"
1614,15,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1622,12,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1623,12,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,2352B),t15(DRAM,38988B),t19(DRAM,38988B)]"
1665,0,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=343,loading_core_cycles=0"
1666,0,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1705,13,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1706,13,IDLE,LOADING,2,conv1,"waiting_for=[t5(DRAM,2352B),t12(DRAM,39675B),t16(DRAM,39675B)]"
1716,1,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=374,loading_core_cycles=0"
1717,1,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1748,2,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=387,loading_core_cycles=0"
1749,2,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1799,3,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=418,loading_core_cycles=0"
1800,3,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1831,4,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=431,loading_core_cycles=0"
1832,4,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1862,5,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=442,loading_core_cycles=0"
1863,5,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1894,6,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=454,loading_core_cycles=0"
1895,6,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1926,7,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=467,loading_core_cycles=0"
1927,7,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1958,8,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=479,loading_core_cycles=0"
1959,8,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1989,9,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=491,loading_core_cycles=0"
1990,9,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2010,14,WRITEBACK,IDLE,2,conv1,"writeback_complete"
2011,14,IDLE,LOADING,2,conv1,"waiting_for=[t6(DRAM,2352B),t15(DRAM,38988B),t19(DRAM,38988B)]"
2021,10,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=503,loading_core_cycles=0"
2022,10,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2053,11,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=483,loading_core_cycles=0"
2054,11,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2062,15,WRITEBACK,IDLE,2,conv1,"writeback_complete"
2063,15,IDLE,LOADING,2,conv1,"waiting_for=[t7(DRAM,2352B),t12(DRAM,39675B),t16(DRAM,39675B)]"
2104,12,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=481,loading_core_cycles=0"
2105,12,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2114,0,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2115,0,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,2352B),t16(DRAM,39675B),t20(DRAM,51984B)]"
2134,1,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2135,1,IDLE,LOADING,3,conv1,"waiting_for=[t5(DRAM,2352B),t19(DRAM,38988B),t35(DRAM,50176B)]"
2153,2,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2154,2,IDLE,LOADING,3,conv1,"waiting_for=[t6(DRAM,2352B),t16(DRAM,39675B),t36(DRAM,51984B)]"
2173,3,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2174,3,IDLE,LOADING,3,conv1,"waiting_for=[t7(DRAM,2352B),t19(DRAM,38988B),t51(DRAM,50176B)]"
2192,4,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2193,4,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,2352B),t17(DRAM,39330B),t25(DRAM,51072B)]"
2212,5,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2213,5,IDLE,LOADING,3,conv1,"waiting_for=[t5(DRAM,2352B),t18(DRAM,39330B),t34(DRAM,51072B)]"
2232,6,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2233,6,IDLE,LOADING,3,conv1,"waiting_for=[t6(DRAM,2352B),t17(DRAM,39330B),t41(DRAM,51072B)]"
2251,7,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2252,7,IDLE,LOADING,3,conv1,"waiting_for=[t7(DRAM,2352B),t18(DRAM,39330B),t50(DRAM,51072B)]"
2271,8,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2272,8,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,2352B),t18(DRAM,39330B),t26(DRAM,51072B)]"
2311,13,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=605,loading_core_cycles=0"
2312,13,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2322,9,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2323,9,IDLE,LOADING,3,conv1,"waiting_for=[t5(DRAM,2352B),t17(DRAM,39330B),t33(DRAM,51072B)]"
2365,14,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=354,loading_core_cycles=0"
2366,14,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2374,10,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2375,10,IDLE,LOADING,3,conv1,"waiting_for=[t6(DRAM,2352B),t18(DRAM,39330B),t42(DRAM,51072B)]"
2394,11,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2395,11,IDLE,LOADING,3,conv1,"waiting_for=[t7(DRAM,2352B),t17(DRAM,39330B),t49(DRAM,51072B)]"
2434,15,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=371,loading_core_cycles=0"
2435,15,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
2487,12,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2488,12,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,2352B),t19(DRAM,38988B),t27(DRAM,50176B)]"
2502,0,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=387,loading_core_cycles=0"
2503,0,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2537,1,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=402,loading_core_cycles=0"
2538,1,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2594,2,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=440,loading_core_cycles=0"
2595,2,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2629,3,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=455,loading_core_cycles=0"
2630,3,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2666,4,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=473,loading_core_cycles=0"
2667,4,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2703,5,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=490,loading_core_cycles=0"
2704,5,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2739,6,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=506,loading_core_cycles=0"
2740,6,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2776,7,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=524,loading_core_cycles=0"
2777,7,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2798,13,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2799,13,IDLE,LOADING,3,conv1,"waiting_for=[t5(DRAM,2352B),t16(DRAM,39675B),t28(DRAM,51984B)]"
2812,8,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=540,loading_core_cycles=0"
2813,8,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2850,9,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=527,loading_core_cycles=0"
2851,9,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2892,14,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2893,14,IDLE,LOADING,3,conv1,"waiting_for=[t6(DRAM,2352B),t19(DRAM,38988B),t43(DRAM,50176B)]"
2905,10,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=530,loading_core_cycles=0"
2906,10,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2912,15,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2913,15,IDLE,LOADING,3,conv1,"waiting_for=[t7(DRAM,2352B),t16(DRAM,39675B),t44(DRAM,51984B)]"
