cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
230539,3,IDLE,LOADING,243,conv_5_br,"waiting_for=[t1833(DRAM,524288B),t1837(DRAM,173056B),t1846(DRAM,25088B),t1848(DRAM,25088B)]"
230747,2,COMPUTING,WRITEBACK,245,conv_5_0_res,"writeback_to_dram"
230900,1,LOADING,COMPUTING,248,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
230901,1,COMPUTING,WRITEBACK,248,conv_5_1_a,"writeback_to_dram"
231022,2,WRITEBACK,IDLE,246,conv_5_0_res,"writeback_complete"
231023,2,IDLE,LOADING,246,conv_5_0_res,"waiting_for=[t1874(DRAM,25088B),t1876(DRAM,25088B),t1890(DRAM,25088B),t1892(DRAM,25088B)]"
231025,1,WRITEBACK,IDLE,249,conv_5_1_a,"writeback_complete"
231026,1,IDLE,LOADING,249,conv_5_1_a,"waiting_for=[t1910(DRAM,262144B),t1911(DRAM,100352B),t1916(DRAM,100352B)]"
231094,0,LOADING,COMPUTING,249,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=564,loading_core_cycles=0"
231095,0,COMPUTING,WRITEBACK,249,conv_5_1_a,"writeback_to_dram"
231133,2,LOADING,COMPUTING,246,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=110,loading_core_cycles=0"
231248,0,WRITEBACK,IDLE,250,conv_5_1_a,"writeback_complete"
231249,0,IDLE,LOADING,250,conv_5_1_a,"waiting_for=[t1902(DRAM,262144B),t1916(DRAM,100352B),t1921(DRAM,100352B)]"
231525,2,COMPUTING,WRITEBACK,246,conv_5_0_res,"writeback_to_dram"
231560,2,WRITEBACK,IDLE,247,conv_5_0_res,"writeback_complete"
231561,2,IDLE,LOADING,247,conv_5_0_res,"waiting_for=[t1890(DRAM,25088B),t1892(DRAM,25088B),t1903(DRAM,100352B)]"
231619,1,LOADING,COMPUTING,249,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=593,loading_core_cycles=0"
231620,1,COMPUTING,WRITEBACK,249,conv_5_1_a,"writeback_to_dram"
231630,1,WRITEBACK,IDLE,250,conv_5_1_a,"writeback_complete"
231631,1,IDLE,LOADING,250,conv_5_1_a,"waiting_for=[t1910(DRAM,262144B),t1916(DRAM,100352B),t1921(DRAM,100352B)]"
231655,3,LOADING,COMPUTING,243,conv_5_br,"compute_cycles=0,loading_dram_cycles=1116,loading_core_cycles=0"
231656,3,COMPUTING,WRITEBACK,243,conv_5_br,"writeback_to_dram"
231719,2,LOADING,COMPUTING,247,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=158,loading_core_cycles=0"
231804,0,LOADING,COMPUTING,250,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
231805,0,COMPUTING,WRITEBACK,250,conv_5_1_a,"writeback_to_dram"
231822,3,WRITEBACK,IDLE,244,conv_5_0_res,"writeback_complete"
231823,3,IDLE,LOADING,244,conv_5_0_res,"waiting_for=[t1846(DRAM,25088B),t1848(DRAM,25088B),t1862(DRAM,25088B),t1864(DRAM,25088B)]"
231824,0,WRITEBACK,IDLE,251,conv_5_1_a,"writeback_complete"
231825,0,IDLE,LOADING,251,conv_5_1_a,"waiting_for=[t1902(DRAM,262144B),t1921(DRAM,100352B),t1927(DRAM,25088B)]"
231933,3,LOADING,COMPUTING,244,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=110,loading_core_cycles=0"
232111,2,COMPUTING,WRITEBACK,247,conv_5_0_res,"writeback_to_dram"
232146,2,WRITEBACK,IDLE,248,conv_5_1_a,"writeback_complete"
232147,2,IDLE,LOADING,248,conv_5_1_a,"waiting_for=[t1908(DRAM,262144B),t1903(DRAM,100352B),t1911(DRAM,100352B)]"
232186,1,LOADING,COMPUTING,250,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
232187,1,COMPUTING,WRITEBACK,250,conv_5_1_a,"writeback_to_dram"
232325,3,COMPUTING,WRITEBACK,244,conv_5_0_res,"writeback_to_dram"
232331,1,WRITEBACK,IDLE,251,conv_5_1_a,"writeback_complete"
232332,1,IDLE,LOADING,251,conv_5_1_a,"waiting_for=[t1910(DRAM,262144B),t1921(DRAM,100352B),t1927(DRAM,25088B)]"
232346,0,LOADING,COMPUTING,251,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=521,loading_core_cycles=0"
232347,0,COMPUTING,WRITEBACK,251,conv_5_1_a,"writeback_to_dram"
232494,3,WRITEBACK,IDLE,245,conv_5_0_res,"writeback_complete"
232495,3,IDLE,LOADING,245,conv_5_0_res,"waiting_for=[t1862(DRAM,25088B),t1864(DRAM,25088B),t1878(DRAM,25088B),t1880(DRAM,25088B)]"
232496,0,WRITEBACK,IDLE,252,conv_5_1_b,"writeback_complete"
232497,0,IDLE,LOADING,252,conv_5_1_b,"waiting_for=[t1926(DRAM,589824B),t1927(DRAM,25088B),t1935(DRAM,25088B)]"
232605,3,LOADING,COMPUTING,245,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=110,loading_core_cycles=0"
232702,2,LOADING,COMPUTING,248,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=555,loading_core_cycles=0"
232703,2,COMPUTING,WRITEBACK,248,conv_5_1_a,"writeback_to_dram"
232788,2,WRITEBACK,IDLE,249,conv_5_1_a,"writeback_complete"
232789,2,IDLE,LOADING,249,conv_5_1_a,"waiting_for=[t1908(DRAM,262144B),t1911(DRAM,100352B),t1916(DRAM,100352B)]"
232815,1,LOADING,COMPUTING,251,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=483,loading_core_cycles=0"
232816,1,COMPUTING,WRITEBACK,251,conv_5_1_a,"writeback_to_dram"
232974,1,WRITEBACK,IDLE,252,conv_5_1_b,"writeback_complete"
232975,1,IDLE,LOADING,252,conv_5_1_b,"waiting_for=[t1934(DRAM,589824B),t1927(DRAM,25088B),t1935(DRAM,25088B)]"
232997,3,COMPUTING,WRITEBACK,245,conv_5_0_res,"writeback_to_dram"
233235,3,WRITEBACK,IDLE,246,conv_5_0_res,"writeback_complete"
233236,3,IDLE,LOADING,246,conv_5_0_res,"waiting_for=[t1878(DRAM,25088B),t1880(DRAM,25088B),t1894(DRAM,25088B),t1896(DRAM,25088B)]"
233345,2,LOADING,COMPUTING,249,conv_5_1_a,"compute_cycles=0,loading_dram_cycles=556,loading_core_cycles=0"
233345,3,LOADING,COMPUTING,246,conv_5_0_res,"compute_cycles=392,loading_dram_cycles=109,loading_core_cycles=0"
233346,2,COMPUTING,WRITEBACK,249,conv_5_1_a,"writeback_to_dram"
233356,2,WRITEBACK,IDLE,250,conv_5_1_a,"writeback_complete"
233357,2,IDLE,LOADING,250,conv_5_1_a,"waiting_for=[t1908(DRAM,262144B),t1916(DRAM,100352B),t1921(DRAM,100352B)]"
233391,0,LOADING,COMPUTING,252,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=894,loading_core_cycles=0"
233392,0,COMPUTING,WRITEBACK,252,conv_5_1_b,"writeback_to_dram"
233541,0,WRITEBACK,IDLE,253,conv_5_1_b,"writeback_complete"
233542,0,IDLE,LOADING,253,conv_5_1_b,"waiting_for=[t1926(DRAM,589824B),t1935(DRAM,25088B),t1940(DRAM,25088B)]"
233737,3,COMPUTING,WRITEBACK,246,conv_5_0_res,"writeback_to_dram"
233802,3,WRITEBACK,IDLE,247,conv_5_0_res,"writeback_complete"
233803,3,IDLE,LOADING,247,conv_5_0_res,"waiting_for=[t1894(DRAM,25088B),t1896(DRAM,25088B),t1903(DRAM,100352B)]"
233831,1,LOADING,COMPUTING,252,conv_5_1_b,"compute_cycles=0,loading_dram_cycles=856,loading_core_cycles=0"
233832,1,COMPUTING,WRITEBACK,252,conv_5_1_b,"writeback_to_dram"
233865,1,WRITEBACK,IDLE,253,conv_5_1_b,"writeback_complete"
233866,1,IDLE,LOADING,253,conv_5_1_b,"waiting_for=[t1934(DRAM,589824B),t1935(DRAM,25088B),t1940(DRAM,25088B)]"
